Year,Metric,Group,Subgroup,Order,Characteristic,Percent
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,47,"Non-Hispanic Black, 100%-199%",14.3
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.8
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7.5
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7.5
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7.4
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.4
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.5
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.7
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.6
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.2
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",10.5
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",10.6
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",12.7
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",14.1
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",14.6
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",12.8
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",11.4
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",11.2
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",12.6
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",11.2
1997,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.6
1998,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.7
1999,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.9
2000,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.6
2001,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.5
2002,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.4
2003,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.2
2004,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",11.2
2005,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",12
2006,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",13.8
2007,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",10.3
2008,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",14.7
2009,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",15.5
2010,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",16.1
2011,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",14.3
2012,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",12.7
2013,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",13
2014,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",11.4
2015,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",13.8
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",5.8
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",4.4
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",5.5
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",5.7
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7.5
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7.7
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",7.9
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",10.4
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",13.9
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",12.7
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",13.7
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",11.6
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.2
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",10.1
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",8.6
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,48,"Non-Hispanic Black, 200%-399%",9.9
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.6
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",3.5
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",3.1
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",2.8
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.4
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.3
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.6
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.5
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.8
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.3
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",7.1
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",9
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",8.1
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.4
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.5
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",6.1
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.7
1997,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.3
1998,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
1999,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2000,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.1
2001,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",3.9
2002,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",6.6
2003,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",6.2
2004,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.8
2005,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2006,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2007,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2008,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",7.5
2009,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",8.6
2010,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",9.1
2011,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.8
2012,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",6.6
2013,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2014,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2015,Nonreceipt of Needed Dental Care Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.2
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2008,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2009,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",6.9
2010,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",5.6
2011,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2012,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",4.3
2013,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2014,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
2015,Nonreceipt of Needed Prescription Drugs Due to Cost,"Race & Ethnicity & Poverty Level, 18-64 Years",Non-Hispanic Black by Poverty Level,49,"Non-Hispanic Black, 400% or more",
1997,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.8
1998,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.8
1999,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.7
2000,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.7
2001,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.9
2002,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.9
2003,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.6
2004,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.9
2005,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.8
2006,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.3
2007,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.2
2008,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,8.8
2009,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,9.5
2010,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,9.1
2011,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,8.5
2012,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,8.1
2013,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.4
2014,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.5
2015,Delay or Nonreceipt of Needed Medical Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.2
1997,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.2
1998,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.3
1999,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.4
2000,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.5
2001,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.1
2002,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6.7
2003,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,7.5
2004,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,8.7
2005,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,8.7
2006,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,9.4
2007,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,8.2
2008,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,11
2009,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,10.8
2010,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,11.8
2011,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,11.1
2012,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,10.2
2013,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,9.8
2014,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,9.6
2015,Nonreceipt of Needed Dental Care Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,9.4
1997,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,3.7
1998,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,3.3
1999,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,3.5
2000,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,4.2
2001,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,4.4
2002,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,4.8
2003,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,4.8
2004,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.9
2005,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6
2006,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,5.8
2007,Nonreceipt of Needed Prescription Drugs Due to Cost,"Health Insurance at Interview, 18-64 Years",,50,Insured,6
